date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:58	372218/372218	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:13:57%20GMT	https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour	C:/My%20Web%20Sites/Sina/accounts.google.com/SignUp66da.html	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:58	233/233	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2023%20Oct%202020%2010:13:58%20GMT	https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.f8529.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:58	231/231	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2023%20Oct%202020%2010:13:58%20GMT	https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.10dc1f.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:59	199/199	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/images/icons/ui/common/universal_language_settings-21.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:59	1634/1634	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Oct%202020%2010:13:59%20GMT	https://accounts.google.com/POST	C:/My%20Web%20Sites/Sina/accounts.google.com/POST.12.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:59	1634/1634	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Oct%202020%2010:13:59%20GMT	https://accounts.google.com/GET	C:/My%20Web%20Sites/Sina/accounts.google.com/GET.13.delayed	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:14:00	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.148529.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&hl=sv)
12:14:00	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.15dc1f.delayed	(from https://accounts.google.com/signin/usernamerecovery?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&hl=sv)
12:14:00	369/369	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2023%20Oct%202020%2010:14:00%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&followup=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&rip=1	C:/My%20Web%20Sites/Sina/accounts.google.com/AccountChooser.165cd6.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&followup=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&sacu=1&rip=1)
12:14:00	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.178529.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&followup=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&sacu=1&rip=1)
12:14:00	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.18dc1f.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&followup=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&sacu=1&rip=1)
12:14:01	291/291	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/ui/v1/dialog/close-x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/ui/v1/dialog/close-x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:01	372207/372207	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:00%20GMT	https://accounts.google.com/SignUp?hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/SignUp5083.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:01	29532/29532	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/flags4.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/flags4.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:01	115/115	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/ui/v1/disclosure/grey-disclosure-arrow-up-down.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/ui/v1/disclosure/grey-disclosure-arrow-up-down.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:02	84/84	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/phone-input-arrow.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/i18n/phonenumbers/phoneinputwidget/phone-input-arrow.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:02	6302/6302	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_325x24_1x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/ui/wlogostrip_325x24_1x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:02	76165/76165	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/signup/devices_1x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/signup/devices_1x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:03	14444/14444	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_325x24_2x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/ui/wlogostrip_325x24_2x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:03	267325/267325	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/signup/devices_2x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/signup/devices_2x.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:03	1634/1634	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Oct%202020%2010:14:03%20GMT	https://accounts.google.com/+/	C:/My%20Web%20Sites/Sina/accounts.google.com/+/index.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:03	74344/74344	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:03%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&dsh=3093702741157982834	C:/My%20Web%20Sites/Sina/accounts.google.com/ServiceLoginb6fb.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:04	426/426	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	http://ssl.gstatic.com/accounts/ui/refresh_white.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/ui/refresh_white.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:05	371292/371292	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:04%20GMT	https://accounts.google.com/SignUpWithoutGmail?dsh=3093702741157982834&continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour	C:/My%20Web%20Sites/Sina/accounts.google.com/SignUpWithoutGmail7c98.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:05	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.26dc1f.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:05	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.278529.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:05	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.28dc1f.delayed	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:06	180/180	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	http://www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_down_white_24dp.png	C:/My%20Web%20Sites/Sina/www.gstatic.com/images/icons/material/system/2x/keyboard_arrow_down_white_24dp.png	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:06	49609/49609	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:04%20GMT	https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour	C:/My%20Web%20Sites/Sina/accounts.google.com/signin/recovery66da.html	(from https://accounts.google.com/SignUp?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour)
12:14:07	74256/74256	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:06%20GMT	https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&dsh=-2458469426294305829	C:/My%20Web%20Sites/Sina/accounts.google.com/ServiceLoginfec7.html	(from https://accounts.google.com/SignUp?hl=sv)
12:14:07	371355/371355	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:07%20GMT	https://accounts.google.com/SignUpWithoutGmail?dsh=-2458469426294305829&continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/SignUpWithoutGmailf0f4.html	(from https://accounts.google.com/SignUp?hl=sv)
12:14:08	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.2ddc1f.delayed	(from https://accounts.google.com/SignUp?hl=sv)
12:14:08	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.2e8529.delayed	(from https://accounts.google.com/SignUp?hl=sv)
12:14:08	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.2fdc1f.delayed	(from https://accounts.google.com/SignUp?hl=sv)
12:14:08	49661/49661	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:14:07%20GMT	https://accounts.google.com/signin/recovery?continue=https%3A%2F%2Faccounts.google.com%2FManageAccount%3Fnc%3D1	C:/My%20Web%20Sites/Sina/accounts.google.com/signin/recoveryb407.html	(from https://accounts.google.com/SignUp?hl=sv)
12:14:08	304/304	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2023%20Oct%202020%2010:14:08%20GMT	https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&dsh=3093702741157982834	C:/My%20Web%20Sites/Sina/accounts.google.com/AccountChooser.30b6fb.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&dsh=3093702741157982834)
12:14:09	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv&privacy=true	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.328529.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&dsh=3093702741157982834)
12:14:09	0/-1	---M--	302	error ('')			https://accounts.google.com/TOS?loc=SE&hl=sv	C:/My%20Web%20Sites/Sina/accounts.google.com/TOS.33dc1f.delayed	(from https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fsites.google.com%2Fsite%2Fsmolavipour&dsh=3093702741157982834)
